lemma	sense_num	definition	ontonotes_sense_examples	visualness_label
pitch	5	be at an angle; lean	"The terrain pitched up from the forest floor, becoming a tangled slope of moss-covered boulders.
In the area where the ceiling pitched we built a shelf."	1.0
pitch	6	erect or fasten	Dewey pitched the tent.	1.0
pitch	7	BASEBALL: throw from the mound to the batter	"Maine pitched the game of his young life with the Mets' season hanging in the balance.
Hernandez pitched the final two innings."	1
pitch	8	GOLF: hit in a high arc with a backspin	no examples found.	0.0
pitch	9	help out; cooperate	"Vail pitched in to bring New York's Philharmonic Orchestra to the music festival.
Everyone pitched in to buy Sam his retirement gift.
After the hurricane, the whole community pitched in to rebuild the town."	0.0
pitch	10	CARDS: lead and establish a trump suit	No examples found.	0.0
draw	1	cause to move toward or after; pull	"He drew the wagon up the hill.
The other ox drew the grist to the mill.
Then she drew down the mask over her face.
He drew great benefits from his membership in the association.
She drew the beads onto the string.
Norman archers drew their bowstrings only to the chest.
Please draw the shades.
Rachel drew a deep breath and dove.
After a dramatic pause, she drew away the cloth to reveal her masterpiece.
The nurse drew back the edges of the wound.
He drew the child close.
The pilot drew in the landing gear.
He drew in his stomach and sauntered past the girls.
She drew on her long gloves."	1.0
draw	2	attract; cause to move through a force or attraction	"The chairman drew sharp criticism Tuesday from some of the party's core conservatives.
I refuse to be drawn into their argument.
This chimney draws pretty well.
The Fed's interest rate changes drew the market down.
This pianist draws huge crowds.
He drew the most walks by a Dodgers player since Shawn Green.
The material drew together after being washed in hot water.
He discovered what drew white blood cells to the wound site.
The leader's charisma drew in scores of followers.
Their loss drew them together."	0.0
draw	3	extract, cause to move out from	"She drew on her intelligence and her get-out-of-my-way-bud lifestyle to create the character.
She drew her gun and fired.
The participants in the experiment were drawn from a representative sample.
They drew water from the well each morning.
He drew $2,000 from the account.
If the infection was a bad one, the salve drew pus out.
Draw a card and place it on the table.
She drew strength from the minister's words.
They drew pulp from the fruit.
Can you draw her out? She's always so quiet."	0.0
draw	4	move oneself, usually steadily	"The ship drew toward the shore.
Night drew down over the mountains.
His days were drawing to a close.
They were neck and neck, then Simpson drew away in the final lap.
She drew back in horror.
They drew close to their mother to keep warm.
The enemy army drew close to our encampment.
The train drew in to Tokyo station.
At the word of command from the colonel, the soldiers drew up on the deck as if on parade.
He drew up in front of the hotel at precisely 11:00."	1.0
draw	5	cause to extend outward; pull tightly	"He drew her hair throught his fingers.
They could draw wire as fine as a spider's web.
Erected in 1912, it was used to draw glass tube for making thermometers.
I'll draw out the meeting as long as I can."	1.0
draw	6	create pictures, documents, or representations	"He drew lines in the sand with the stick.
Gen loved to draw pictures of dogs.
Alex drew an elaborate plan of attack.
They met to draw up a blueprint for recapitalization.
The deed was drawn in the lawyer's office.
I need to draw up a will."	1.0
draw	7	formulate in the mind	"You can probably draw a conclusion about how well he scrubs his feet by checking out his soles.
I'm trying to draw a parallel to systems I have worked with in the past.
I'd like to answer your question, but I'm just drawing a blank."	0.0
draw	8	tie	These teams drew the last time they met in this competition.	0.0
draw	9	pull apart or disembowel	"He was sentenced to be drawn and quartered for his crimes.
Draw the chicken and cut it up as for a fricassee."	1.0
draw	10	require a specified depth for floating	This boat draws 70 inches.	0.0
draw	11	miscellaneous idioms	"The hunter drew a bead on the rabbit and fired.
You can borrow my books and CDs, but I draw the line at borrowing my clothes.
Helen drew rein and her weary horse came to a stop."	0.0
bounce	1	(cause to) move up or away after striking an object or a surface	"Onlookers saw the car bounce off a tree.
The ball bounced off the post and into the net.
She bounced the ball quickly.
The children had broken the bed by bouncing on it.
He bounced the baby on his knee.
Television pictures from all over the world are bounced off satellites.
You are viewing an image bounced off the mirror and prism.
Change the angle of the flash head and bounce the flash on the wall or ceiling.
Her long blonde hair bounced as she walked.
Her bag bounced as she ran down the hall."	1.0
bounce	2	reject; (cause to) return after being refused	"I had to pay a penalty fee when my check bounced.
To my horror, the bank bounced the check.
They somehow managed to get themselves bounced out of the restaurant.
We were getting tired of calling the cops to bounce the underage drinkers.
My last email to you bounced.
My message is being bounced back to me."	0.0
bounce	3	walk or move energetically or cheerfully	"Tom bounced in, smiling broadly.
The children came bouncing into the room.
She bounced up to the guests and breezily said hello.
Levi bounced to his feet with an ear-to-ear smile."	1.0
bounce	4	discuss, share ideas	"I'd like to bounce some ideas off you folks, and get some feedback.
I bounced a few ideas off my boss."	0.0
bounce	5	improve health, recover from setback	"The patient bounced back to good health.
My site has finally bounced back from the big drop we had on the 26th of April."	0.0
bounce	6	BASEBALL-hit a ground ball to an infielder	The batter bounced out to the shortstop.	1.0
jump	1	(cause to) move suddenly and abruptly upward and/or forward	"The horse easily jumped the five foot fence.
The trainer jumped his tigers through flaming hoops.
Let's don't jump to the wrong conclusion.
Improper alignment of the film in the projector mechanism caused it to jump through frames.
John jumped around in the article to see whether he had been cited.
Electrons jump from specific energy levels to other levels, rather than continuously.
They have been jumping back and forth on this issue for years.
We jumped from our seats at the loud thunderbolt.
A man was seen jumping off the bridge yesterday.
Oil prices jumped sharply overnight.
Her new novel has jumped to second place this week on the bestseller list.
Sally jumped at the chance to become a shuttle astronaut.
The puppy jumped right in with the bigger dogs.
We need to jump on this issue right away.
Billy has jumped off to a good start at school this year.
Jump in the car, let's go!
Jump back on a horse right away if you fall off."	1.0
jump	2	leave the rails or path unexpectedly	"Several people were injured when the train jumped the track.
They couldn't decide on the next step and now the whole reorganization plan has jumped the track.
Floor-track doors that refuse to budge may have jumped the track."	1.0
jump	3	be highly noticeable	"I don't like the way these colors jump out of the wall.
The graphics just jump out at you."	0.0
jump	4	assail suddenly and unexpectedly	"Muggers jumped the woman in the fur coat.
John turned and was ready before the punks could jump him."	1.0
jump	5	cause an engine to start by connecting its battery to another	"I jumped his Camry from my Civic.
They borrowed Bob's cables to jump the car with the dead battery."	1.0
wrap	1	Cover or enclose.	"She wrapped the blindfold around my eyes.
They had just wrapped the Bern Museum in translucent plastic.
Mommy wrapped the Christamas presents up and put them under the tree.
Mother Fong took off her coat and wrapped the baby up carefully.
Monica wrapped the flag around her body and smiled coyly."	1.0
wrap	2	Wind around.	"Wrap the paper around thin dowels.
Wrap the yarn around the spool again.
Wrap the rope around your arm to tidy it up.
My dad always wrapped the handlebars in double-sided cloth tape.
The boy wrapped the rope tight around his neck and jumped."	1.0
wrap	3	Finish a task completely	"We should have wrapped the game up before half-time.
Bass N Bucks wrapped up the 2007 season yesterday.
African leaders wrapped up the first summit of the AU yesterday.
Yesterday we wrapped up the majority of our projects for PDC."	0.0
wrap	4	Guide around an object or a set of objects.	Beckham wrapped the ball around a wall of defenders.	1.0
see	1	perceive by sight	"Can you see the bird in that tree?
His fumbling the ball was seen on TV by millions of viewers.
The camera saw the burglary and recorded it.
I must see your passport before you can enter the country.
Don't drive after taking the medication. It will make you see double."	1.0
see	2	realize, visualize or understand mentally (or through imagination)	"I just can't see your point.
They saw a risk in his strategy.
I am not seeing this situation as hopeless.
I see what you mean."	0.0
see	3	witness, observe, or experience	"Did you see any encouragement from him?
You'll see a lot of cheating in this school.
He saw action in Vietnam.
I see that you have been promoted.
I saw Berlin before the Wall came down.
They are planning to see two museums tomorrow.
1960 saw the rebellion of the younger generation against established traditions.
As an artist, you must learn to see."	0.0
see	4	verify, prove, check or insure by actively examining (evidence)	"He's going to see whether the train will leave on time.
See whether you can come tomorrow.
He went to see if the valves were indeed closed."	0.0
see	5	take care of, take responsilibity over, keep up with	"Can you see about this matter at once?
Jeff's job is to see to it that the visitors get the proper reception.
Jeeves will see you to the door.
The sponsor has promised us to see the project to completion.
See to it!"	0.0
see	6	meet or encounter on social or professional capacity	"How nice to see you again!
He's been seeing a therapist for two years.
She hasn't seen her mother in six months.
The doctor will see you now.
His wife thinks he's seeing another woman."	1.0
see	7	match as in poker game	I'll see you and raise you ten.	0.0
see	11	Deliberate or decide.	"See if you can get in touch with the agent.
Let's see."	0.0
pass	1	travel by	"We are passing the site of that famous Revolutionary War battle.
Such an idea would never pass her mind.
He passed his professor in the hall.
The big gray horse passed the front runner on the inside rail."	1.0
pass	2	clear, come through, succeed	"Will this amendment pass?
The bill has already passed the Senate.
She's worried she won't pass the New York Bar exam.
The teacher decided to pass the student despite his poor grade on the final exam.
This manuscript has passed the scrutiny of three editors."	0.0
pass	3	elapse, happen	"Time passed and still there was no word from John.
The demonstration passed without one violent incident.
Many happy childhood summers were passed at the beach.
His snide remarks passed without anyone even looking up from their reading."	0.0
pass	4	give, transfer	"He's passed those files to the department upstairs.
The summer house will pass to John and the two cars, to Mary.
I tried to pass the ball to Bill, but the dog jumped up and caught it first.
The old farm passed back to the state with no heirs to claim it.
Could you pass these plates around to the guests?"	1.0
pass	5	enter a state	"She passed into unconsciousness.
The fall passed into winter early last year.
The old man passed quietly in his sleep."	0.0
pass	6	extend	"The disputed zoning area passes from the edge of town almost to the airport.
The bridge passed over thw widest part of the river."	1.0
pass	7	guide, draw through	"She passed her fingers over the smooth, green silk fabric.
I can't pass thread through a needle without my glasses."	1.0
pass	8	communicate	"The orders eere passed down the chain of command.
I passed a signal to our waiter to bring the check."	0.0
pass	9	end, disappear	"This, too, will pass.
Let's wait until the storm passes.
He's taking some medication, but the pain doesn't seem to be passing."	0.0
pass	10	exceed	"The new kitchen has passed my wildest expectations.
The cost of this project is now passing the budget allocated for it."	0.0
pass	11	be identified or regarded as	"She can sometimes pass for her sister.
This margerine will never pass for butter."	0.0
pass	12	excrete	"Did he finally pass the kidney stone?
The dog passed a prune pit."	1.0
pass	13.1	Make a journey from one place to another, travel by, cause to transfer, infiltrate	"Their camels were loaded with waterskins, enabling the army to pass across the desert.
As glaciers pass over the land they leave distinct features.
The travelers pass through the valley of Baca.
Pass the chemical through the solution.
Pass through an enemy line.
A black limo passed by when she looked out the window.
Time passes on.
The plane passed over Damascus."	1.0
pass	13.2	Communicate, distribute, broadcast	"Pass along the good news!
Please pass on this message to anyone you think may be interested.
Plenty of blame to pass around.
Films filmmakers watch and pass around!
The teacher passed out the exams."	1.0
pass	13.3	Die, go out of existance, fade, blow over	"She hoped that the problem would eventually pass away.
I'm very sorry that she passed away.
The pain eventually passed off."	0.0
pass	13.4	Be accepted in false character or identity	"She passed off as a Russian agent.
She passed the glass off as diamonds."	0.0
pass	13.5	Faint, black out	I bumped my knee, hit my head and passed out.	1.0
pass	13.6	Reject, disregard, fail to acknowledge	"He passed me up in the street.
Why I passed up the chance to work at Apple.
She passed off the insult."	0.0
pass	13.7	Idiomatic Expressions	"Newborn babies pass water frequently.
Candidates for the Bar pass with flying colors.
It's still too early to pass judgement on revolution."	0.0
pass	13.8	Occur, happen	Elsewhere, the event passed off more smoothly.	0.0
pass	13.9	Emit, expel gas or odors	No examples found	0.0
pass	13.10	Transfer possession, relegate	"I am passing on my genes to my children.
They can pass on difficult issues to you."	0.0
pass	13.11	Wipe, rub with circular motion	He passes his hands over the soft cloth.	1.0
pass	13.12	Skip	The logic of the Hellenes does not pass over a step of reasoning.	0.0
bake	1	cook and make edible by putting in a hot oven	"Xavier baked a cake in the oven.
Julie baked muffins for the president.
Steve loves to bake in his kitchen."	1.0
bake	2	heat by a natural force	"The sun bakes the valley in the summer.
The heat of the humid, hazy afternoon baked the churchgoers."	1.0
bake	3	be very hot, due to hot weather or exposure          to the sun	"The town was baking in the sun.
My fair, Irish skin will surely bake if I don't use SPF 90!
The churchgoers baked in the heat of the humid, hazy afternoon."	1.0
slice	1	cut into or apart, usu. with a sharp object	"Europe has sliced the African pie in relatively short time.
He sliced the heart, the lungs and liver through and flung him dead.
A third person had sliced the cantaloupe.
His wife sliced up all his shirts and used them to wash her car.
The snakes disentangled and sliced through the whispering grass.
Helicopters sliced through the air.
She got 3 large potatoes and sliced them into cubes."	1.0
slice	2	hit a ball causing it to have (back)spin	"She sliced the ball into a field of cows.
Magnus sliced the golf ball 100 feet."	1.0
lead	1	result in, tend to, cause, conduce	"Washing clothes without bleach will lead to duller colors eventually.
This remark led to further arguments among the guests Her greed led her to forge the checks This path is leading him to disaster.
More exercise will lead to better cardiovascular health.
The United States will lead of the 10th annual World's Fair.
Hitler's attack on Poland led up to WWII."	0.0
lead	2	travel in front of, be first, precede	"The majorettes led the parade on Main Street.
That country leads the world in annual silk production.
John is now leading in the tennis tournament."	1.0
lead	3	extend, connect, afford access to	"Train service no longer leads all the way out to those villages.
I wonder where this twisty passage will lead.
The French doors in the living room lead onto a wide terrace."	0.0
lead	4	head, preside, direct	"Who will be leading this project?
The conductor led the audience in a medley of patriotic tunes.
I've been asked to lead the service this evening."	0.0
lead	5	guide	"You can lead a horse to water, but you can't make him drink.
This problem has been leading me in circles.
He led her upstairs to see his etchings.
You've been leading me astray!"	1.0
lead	6	pass, spend	"They are leading a splendid life on the Amalfi coast.
He led a life of quiet virtue."	0.0
lead	7	run, place	Be sure to lead the wire behind the furniture, so we won't trip on it.	1.0
lead	8	deceive, teach bad behavior to (with false promises)	"That preacher sure led us astray with promises of eternal life.
It was common practice to lead off young ones.
Martin led the professor by the nose.
She led on her blind date, telling him she was a model."	0.0
sail	1	travel on a body of water (propelled by wind)	"Charles Darwin sailed on the Beagle.
I love sailing the open sea.
Who 'really' sailed the Ocean Blue in 1492?
Can a kitten sail a ship?
There was a lady who sailed my soul.
We sailed (the ocean) through the night."	1.0
sail	2	move with sweeping, effortless gliding motions	"Jeanette sailed into the ballroom with a grin.
The paper airplane sailed through the air.
The glider sailed down to a perfect landing."	1.0
lean	1	incline from a vertical position	"She leaned over the banister.
The ladder is leaning against the north wall.
He leaned back in his chair and sighed.
Don't lean on that bookcase!
That picture seems to lean a little to the right."	1.0
lean	2	cause to incline	"She leaned the pitch fork against the wall.
What happened when you leaned the bike a little to the left?"	1.0
lean	3	have a tendency or disposition to	"It's unclear which way he leans on this issue.
My preference has always leaned more to the male singers than the famale.
Although she's not a registered Democrat, she definitely leans left."	0.0
lean	4	rely on	"When things have got you down, you can always lean on me.
He's the kind of man you can lean on."	0.0
lean	5	Pressure or intimidate to do or be something.	"Congress leaned on the President to enact the ruling.
I can lean on my coworkers to stop pestering Sheila.
Arthur leaned on his weaker teammate."	0.0
paddle	1	propel with a paddle	"The couple paddled their canoe down the river.
John paddled the boat to the shore.
The shipwrecked men paddled their lifeboat aimlessly.
The rowing team paddled for the gold.
Friends will take turns paddling the old rowboat."	1.0
paddle	2	swim	"Little kids paddle in the pool before they learn proper form.
Jenny paddled around the shallow end.
Dogs paddle efficiently when thrown into water.
Jake paddled lazily around the lake.
Jeremy paddled slowly towards Susan in the pool."	1.0
paddle	3	spank	"The dominatrix paddled her client.
Parents paddle bad children to teach them a lesson.
The brat was paddled for his behavior.
Some people paddle each other as a prank.
Seniors paddle freshmen during the Freshman Hunt."	1.0
paddle	4	stir with a paddle	"The cook paddled the vat of soup.
Painters paddle the product before application.
Derek paddled the paint to mix it thoroughly.
The glaze was paddled to consistency."	1.0
inject	1	to force fluid into by piercing	"The hospital mistakenly injected the blood into the wrong patient.
The researchers injected the nanorods into mice.
When hexane is injected, the hexane rises to the top and vaporizes.
We had to inject nutrients into my diabetic cat twice a day."	1.0
inject	2	add an element to something	"Surely it could have injected some humor into the plot.
I injected myself into the conversation whenever possible."	0.0
print	1	produce writing, design, or images on a surface	"Some newspapers still refuse to print certain swear words.
They printed his letter in Tuesday's paper.
The leaflets will be printed on recycled paper.
Please print the letters over the picture.
I'm waiting for a document to print.
A machine prints the corporate logo onto pencils.
We printed enough T-shirts for the whole team.
20000 copies of the novel will be printed in hardback.
These books were printed in Canada.
The company prints several news magazines in addition to books.
Photographs are better if they are printed from the original negative."	1.0
print	2	write as if with print, not in cursive	"Please print your name clearly below your signature.
Please fill out in print the following form in blue or black ink."	1.0
print	3	make copy or positive image from a negative	"I shoot a lot of 120 Ilford XP2 and print the negatives conventionally.
He printed the negatives he had of her and the old biking group."	1.0
print	4	make an unforgettable impression	"To this day, Mom's homemade chili is indelibly printed on my memory.
Then there was that other picture that printed itself on my mind."	0.0
juggle	1	handle or manipulate several components at once	"I want to learn how to juggle.
No one knows how she juggles kids and a career so successfully.
We need to juggle the accounts to hide a deficit."	1.0
juggle	2	influence by slyness	"I can't believe he juggled all of us!
The computer juggled us in one match by tossing a grenade at our shelter."	0.0
run	1	move quickly or freely, travel	"Don't run or you'll be out of breath!
If you see this man, run!
Who are these people running around here?
She runs around telling everyone her troubles.
Just let the dogs run.
The children ran amok.
She ran ten miles that day.
He is running the marathon this year.
I just need to run to the store.
She ran to the arms of her lover.
Savage ran the ball 19 times for 112 yards with a touchdown.
The ship once again returned to sea to run the coast between New York and Savannah.
Local salmon that run the waters of the Pacific are chinook and coho."	1.0
run	2	extend over time/space or across a set	"Service runs all the way to Cranbury.
The highway from ignorance to knowledge runs both ways.
Knowledge runs deep amongst the staff.
Musical talent runs in the family.
Run the wire behind the cabinet.
The film runs five hours.
Interest rates run from five to ten percent.
Estimates for the losses in the earthquake run as high as two billion.
These dresses run small."	0.0
run	3	manage, enact, (cause to) operate	"She is running a relief operation in the Sudan.
They ran the tapes over and over again.
Run the dishwasher.
Our dishwaser is so quiet that I can't even hear it when it's running.
The storyline runs like a stripped down Corvette, there aren't any frills, but it has a lot of balls.
That idiot left the car running while he was inside.
I can't run Windows on this machine.
How do I run a process in the background?
The purchasing power argument runs in a slightly different manner.
You're the one that always runs the show.
I just need to run a quick errand."	0.0
run	4	guide, cause to move along a certain path	"He ran his eyes over her body.
She ran her fingers along the carved figurine.
He ran his fingers through her hair."	1.0
run	5	flow, as of liquids	"This stretch of the Missouri runs slow and warm during the summer months.
These dyes and colors are guaranteed not to run.
He pours hot wax on all wicks, twirling them so that the wax runs evenly.
My nose is running."	1.0
run	6	present or perform (be presented); display (be displayed)	"We ran the ad three times.
The story ran for almost a month in the local paper.
It's a good idea to run your plan by the program director.
Show volunteers run through the show in front of members who critique the performance."	1.0
run	7	campaign for a certain position	"Who's running for treasurer this year?
He announced today that he would run for president."	0.0
run	8	be subject to, be affected by	"Rest when you are tired or are running a fever.
You run the danger of damaging your mental and physical health.
They actually run a chance of slipping into hypoglycemia."	1.0
run	9	keep company	"He runs with a bad crowd.
The heifers run with the bulls to produce offspring."	0.0
run	10	trade illegally	"Grandma ran drugs to support her bingo habit.
Running moonshine on the back roads was not a job for the fainthearted."	0.0
run	11	cause animals to move	"The handlers ran their dogs around the track.
The dogs ran the deer, and the hunters shot them.
It's not because he's a cheater, it's because he runs horses where they can win.
I run cattle on rolling hills with very little standing water.
The Fairbanks area in one of the best places in the world to run sled dogs."	1.0
run	12	unravel	"I can see heels and pearls flying, hear dresses ripping, nylons running!
If snagging happens, simply snip off the loop and the snag won't run."	1.0
run	13.1	move quickly, run in a particular direction	"The kids ran around all day.
Did your dog just run by?
I said hello, and he ran off.
She ran out of the room crying."	1.0
run	13.2	flee, escape control	"Did you ever run away from home when you were a kid?
Inflation is running away.
Mark ran off with his brother's stamp collection.
She ran off with Steve to get married."	1.0
run	13.3	flow (in a certain direction or with a certain result)	"Water ran down the outside of the glass.
The sewage ran off into the river.
Gasoline ran out of the leaky tank bit by bit.
The bathtub ran over."	1.0
run	13.4	(cause to) become empty or exhusted of something	"I ran myself down during exam week.
They ran down their savings when they renovated their kitchen.
The keg ran dry half-way through the party.
We're running low on sugar.
She seemed to run out of energy near the end of the race.
My passport ran out last month.
The rice stores ran out before the next crop came in.
I am running short of patience!
They ran through their office supplies by June."	0.0
run	13.5	meet, encounter	"She ran across some old college friends.
I ran into Sam yesterday at the hardware store.
They ran into several problems with the software."	0.0
run	13.6	injure or kill by traveling over	"George was run down by a Toyota last night.
I accidentally ran over a squirrel."	1.0
run	13.7	extend or continue for a certain amount of time	"The movie ran for three hours.
That meeting ran on for half the day.
Boy, can he run on!"	0.0
run	13.11	pursue until caught or found	"The sheriff ran down the suspect in the mall parking lot.
I ran down those figures you wanted."	1.0
run	13.12	scan	She ran down the list, looking for his name.	1.0
run	13.13	collide	My son ran into a bench his first day with a driver's license.	1.0
run	13.14	drive out	He ran off the trespassers with his shotgun.	1.0
run	13.15	photocopy	Will you run off 50 copies of this brochure?	1.0
run	13.16	decide by a runoff	We'll run off ten finalists to determine the winner.	0.0
hang	1	(cause to) drape or dangle from (a) fixed point(s)	"A heavy gold necklace hung around her neck.
Can you help me hang some decorations on the tree?
The curtains hung in thick folds.
Hang your coat and hat up on the rack over there.
Let the pheasant hang for a few days for the flavor to improve before you cook it.
Her long dark hair hung over her shoulder.
This cabinet door doesn't hang right.
The contractors hung the wallpaper upside down and refused to fix it.
Many of his finest pictures hang in the National Gallery."	1.0
hang	2	kill by fastening rope around neck	"He was found guilty and hanged later that year.
With so little evidence to prove her guilt, few people thought she should hang.
The woman tried to hang herself with a sheet.
She hung for witchcraft."	1.0
hang	3	curve, droop or bend downwards	"If you're a nerd, hang your head in shame - I know I am.
The branches hung heavy with snow."	1.0
hang	4	remain suspended without motion, resolution, or conclusion	"Heavy fog hung over the valley.
Time hung heavily when she was away.
His academic future hangs in the balance.
The jury hung on the last case because the prosecution overcharged.
Uncertainty again hangs over the project.
At the same time new worries hung on her domestic life."	1.0
hang	5	hold on, perservere, or depend on (through precarious situation)	"Hang on tight. It's going to be a very bumpy ride.
Beemer would hang on his mother's leg, overwhelmed by noise and color and sound.
I hung on every word, no matter wrong or right.
Hang on to this document; you'll have no proof of your rights without it.
She's been trying to hang on to her youth.
He hung his hopes for re-election on his record of the last several years.
At the end of the day, he knows he hangs by a thread at this job.
The mayor's political future has been hanging by a thread since the fraud scandal.
Bob and Doug, hang in there. You're gonna make it."	0.0
hang	6	wait, lag, linger or loiter	"Sally's on the other phone - would you like to hang on?
Do you need the toilet right now or can you hang on for a while?
I thought I'd hang around for a while and see if she comes.
Go and pack but don't hang around - we have to go in an hour.
There's no need to hang back - you can sing as well as anyone."	0.0
hang	7	spend significant amount of time somewhere or with someone	"I got into drugs because I was hanging around with the wrong people.
I spent most of my youth hanging around the bars of Dublin.
She usually hangs out in the corner cafe.
With her free time, Julie hangs out with her friends in and outside her major.
I will show you what makes the world hang together.
We'll hang together or hang separately."	1.0
pose	1	present or introduce a question, problem, challenge, or danger	"They say that the breakdown of negotiation might pose a threat to peace.
This poses an interesting question.
Nuclear weapons pose a threat to everyone.
Can we go back to the question that Helena posed earlier?"	0.0
pose	2	move into and stay in a particular position	"We all posed for our photographs next to the Statue of Liberty.
Would you pose for my painting?"	1.0
pose	3	pretend to be something other than oneself	"He doesn't really know a thing about the theatre. He's just posing.
She posed as the Czar's daughter.
He's always posing to impress his peers.
They got poast the security guards by posing as reporters."	0.0
pluck	1	pick or pull out sharply to gather or remove	"She plucked flowers in the garden.
Please pluck the chickens for dinner tonight.
The teacher plucked a pen from the case and started writing frantically.
The hawk plucked the field mouse from the road."	1.0
pluck	2	pull lightly but continuously as strings on an instrument	"The musician plucked the strings of his mandolin.
Arrie plucked at the loose threads on her dress."	1.0
pluck	3	buy or sell in an underhanded manner; overprice; rip off	"Mark was a salesman who plucked you for all you had.
The dealer plucked these designer bags off the streets of Prague."	0.0
water	1	provide or supply with water	"I watered the garden today and the strawberry patch.
Farmers watered the fields every week.
They watered the grass until it was an emerald green.
Make sure to water the horses after every ride."	1.0
water	2	secrete or form water	"My mouth watered at the smell of garlic cooking.
Cutting onions makes my eyes water.
Her eyes watered when he told her that she was ugly."	1.0
graze	1	(Cause to) feed, as if over a geographic area.	"The herd grazed in the meadow.
We grazed on a large buffet.
The rancher grazed the cattle for half a day."	1.0
graze	2	Break the skin (of a body part) by          scraping; impact something else.	"She was grazed by the stray bullet.
The instrument grazes the skin.
The second shot grazes her temple."	1.0
wear	1	don, assume, feature	"She was wearing yellow that day.
He wore a red rose bud in his lapel.
She wore her prettiest smile for him.
He wore a look of disgust through the entire speech.
I like to wear my hair in a French twist.
He decided to wear his white silk suit."	1.0
wear	2	deteriorate, tire, break down	"I wore a hole in my jeans.
This vacuum cleaner seems to be wearing out.
It was really wearing to weed the strawberry fields from dawn to dusk."	1.0
wear	3	endure, last, be usable	The treads on those tires will wear for years.	0.0
put	1	place or set, physically (or abstractly)	"She is putting the tray of food on the table.
Winning this game will put them in first place.
Put the name of the author above the title.
He put the date of the meeting on his calendar.
They put her on the varsity team."	1.0
put	3	to formulate, express, or present something	"I would put that differently.
He put his argument bluntly to her.
Several questions were put to the new principal."	0.0
put	4	invest, commit	"She puts tremendous energy into her teaching.
Don't put all your money into technology stocks.
He put too much time into that project."	0.0
put	5	calculate, estimate	"They put the time of the robbery at 6:45 pm.
I put his height at six feet one inch."	0.0
put	6	to subject someone or something	"They really put that car to the test.
The real estate deal is putting us into debt.
The smells from the bakery put us in the mood to eat.
There simply wasn't enough proof to put him on trial."	0.0
put	7.1	express or present something	"She puts across her ideas very clearly.
He put forward his plan for reorganizing the department.
Cliff Brun was put forward as a candidate for the position.
I put him up for teacher of the year.
He put over the union leaders as hard-working guys.
She put in that she thought we should meet every week.
He tried to put in clever remarks wherever he could.
I put in an application for an NSF grant."	0.0
put	7.2	place or set somewhere	"Please put away your books now.
He put the camera back where it belongs.
She put down the basket.
He put down the passengers in front of the side entrance.
Put in the key, then turn it.
We'll need to put on several coats of paint.
They put up a for-sale sign on their lawn."	1.0
put	7.3	carry out	"They put on a spectacular performance.
He put through a new economic plan.
We need to put this right.
He put up a good fight."	1.0
put	7.4	invest or expend	"He put out considerable effort to make that project succeed.
They put in thousands of dollars to the fund.
The city put up half the money for the stadium."	0.0
put	7.5	dupe, fool	"You're putting me on!
He put one over on her."	0.0
put	7.6	imprison	"The murderer will be put away for a good, long time.
Some criminals repent once they are put behind bars."	1.0
put	7.7	stop using	"It is time to put aside childish things.
Put aside your books and go out to play.
He put away his mistress when he tired of her."	0.0
put	7.8	euthanize	"I would never put away my dog just to move into a building with a no-pets rule.
We had to put our cat to sleep when her cancer got too bad.
It's sad when someone has to put down a beloved pet."	1.0
put	7.9	eat a lot	He can really put away those hotdogs!	1.0
put	7.10	cost a certain amount	That car put us back several thousand dollars.	0.0
put	7.11	insult, demean	She has no friends because she is always putting people down.	0.0
put	7.12	express in writing; make a record of	"When I put down these poems, I didn't think of myself as a writer.
Put down your height and weight."	1.0
put	7.13	land an aircraft	The pilot put down the plane on a grassy field.	1.0
put	7.14	be assertive	Young ladies these days know how to put themselves forward.	0.0
put	7.15	postpone	"But we have put off this meeting three times already!
If you ask him about a raise, he'll just put you off.
We should put over this topic until we meet again."	0.0
put	7.16	cause dislike or inconvenience	"His constant bragging puts people off.
My parents put me out when they showed up unannounced."	0.0
put	7.17	extinguish, cause to end	"It took three weeks to put out the fire.
Will you put out the lights?
The government put down the insurrection."	1.0
put	7.18	thrust or extend out	"He put out his hand and introduced himself.
Always put your best foot forward."	1.0
put	7.19	install	They put in a new video conferencing system.	1.0
put	7.20	be sexually active	He only dates girls with a reputation for putting out.	0.0
put	7.21	make available for sale or consumption	"They put out 35 books a year.
We put our house up for sale in June."	0.0
put	7.22	baseball--cause to be out	The shortstop threw to first to put out Johnson.	0.0
put	7.23	anesthetize	"The drug put him out for hours.
They need to put him under for this surgery."	0.0
put	7.24	preserve, lay aside for future use	"We put in several bales of hay for the horses this winter.
My mother put up preserves every summer."	1.0
put	7.25	augment	"They put on a sunroom.
He has really put on weight.
She put 1,000 miles on the odometer."	1.0
put	7.26	dress, wear clothing	Put on your coat before going out in this weather.	1.0
put	7.27	connect by telephone	Put this call through to Tokyo.	0.0
put	7.28	construct	"That crew can put up a house in 3 weeks.
She put together the committee.
We need to put together a new plan."	1.0
put	7.29	tolerate	He puts up with all sorts of nonsense at work.	0.0
put	7.30	provide housing for	They put up the refugees in the high school gym.	1.0
